Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,State,City,Tenure,Agegroup,Spendperyear,Siteperyear,HasAccountManager,Onboard_year,OnboardQuarter,CompanyRisk,EngagementScore,LoyaltyScore
Cameron Williams,42,11066.8,0,7.22,8,2013-08-30 07:00:00,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1,AK,Barkerburgh,5-10years,35-45,1532.8,1.1,No,2013,3,1.0,57.76,1346.33
Kevin Mueller,41,11916.22,0,6.5,11,2013-08-13 00:38:00,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1,RI,Carloshaven,5-10years,35-45,1833.26,1.7,No,2013,3,0.33,71.5,1588.83
Eric Lozano,38,12884.75,0,6.67,12,2016-06-29 06:20:00,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1,DE,Alyssahaven,5-10years,35-45,1931.75,1.8,No,2016,2,1.0,80.03999999999999,1679.89
Phillip White,42,8010.76,0,6.71,10,2014-04-22 12:43:00,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1,WY,Angelabury,5-10years,35-45,1193.85,1.5,No,2014,2,1.0,67.1,1039.01
Cynthia Norton,37,9191.58,0,5.56,9,2016-01-19 15:31:00,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1,MH,Karenshire,5-10years,35-45,1653.16,1.6,No,2016,1,1.0,50.04,1401.16
Jessica Williams,48,10356.02,0,5.12,8,2009-03-03 23:13:00,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1,PR,Vincentborough,5-10years,45-55,2022.66,1.6,No,2009,1,1.0,40.96,1692.16
Eric Butler,44,11331.58,1,5.23,11,2016-12-05 03:35:00,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1,IA,Justin,5-10years,35-45,2166.65,2.1,Yes,2016,4,1.0,57.53,1818.87
Zachary Walsh,32,9885.12,1,6.92,9,2006-03-09 14:50:00,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1,FM,Brownport,5-10years,25-35,1428.49,1.3,Yes,2006,1,1.0,62.28,1248.12
Ashlee Carr,43,14062.6,1,5.46,11,2011-09-29 05:47:00,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1,MA,Christineview,5-10years,35-45,2575.57,2.0,Yes,2011,3,1.0,60.06,2176.87
Jennifer Lynch,40,8066.94,1,7.11,11,2006-03-28 15:42:00,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1,WI,Ann,5-10years,35-45,1134.59,1.5,Yes,2006,1,1.0,78.21000000000001,994.69
Paula Harris,30,11575.37,1,5.22,8,2016-11-13 13:13:00,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1,,43432,5-10years,25-35,2217.5,1.5,Yes,2016,4,1.0,41.76,1860.99
Bruce Phillips,45,8771.02,1,6.64,11,2015-05-28 12:14:00,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1,,40249,5-10years,45-55,1320.94,1.7,Yes,2015,2,1.0,73.03999999999999,1148.04
Craig Garner,45,8988.67,1,4.84,11,2011-02-16 08:10:00,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1,AZ,Rebekahport,3-5years,45-55,1857.16,2.3,Yes,2011,1,1.0,53.239999999999995,1539.16
Nicole Olson,40,8283.32,1,5.1,13,2012-11-22 05:35:00,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1,WI,Hernandezberg,5-10years,35-45,1624.18,2.5,Yes,2012,4,1.0,66.3,1357.92
Harold Griffin,41,6569.87,1,4.3,11,2015-03-28 02:13:00,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1,MT,Autumn,3-5years,35-45,1527.88,2.6,Yes,2015,1,1.0,47.3,1239.6
James Wright,38,10494.82,1,6.81,12,2015-07-22 08:38:00,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1,HI,Kimberlyshire,5-10years,35-45,1541.09,1.8,Yes,2015,3,1.0,81.72,1343.77
Doris Wilkins,45,8213.41,1,7.35,11,2006-09-03 06:13:00,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1,DE,Alichester,5-10years,45-55,1117.47,1.5,Yes,2006,3,1.0,80.85,983.64
Katherine Carpenter,43,11226.88,0,8.08,12,2006-10-22 04:42:00,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1,,42669,5-10years,35-45,1389.47,1.5,No,2006,4,1.0,96.96000000000001,1236.44
Lindsay Martin,53,5515.09,0,6.85,8,2015-10-07 00:27:00,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1,CO,Parkerview,5-10years,45-55,805.12,1.2,No,2015,4,1.0,54.8,702.56
Kathy Curry,46,8046.4,1,5.69,8,2014-11-06 23:47:00,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1,RI,Tanyaborough,5-10years,45-55,1414.13,1.4,Yes,2014,4,1.0,45.52,1202.75
Dean Miller,41,9771.22,0,5.81,11,2013-05-30 00:42:00,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1,WV,Jimenezberg,5-10years,35-45,1681.79,1.9,No,2013,2,1.0,63.91,1434.83
Kevin Ramos,56,12217.95,1,5.79,11,2016-11-17 14:37:00,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1,CO,Jenniferfort,5-10years,55-65,2110.18,1.9,Yes,2016,4,1.0,63.69,1799.4
Jennifer Wood,35,9381.12,1,6.78,11,2006-03-27 20:52:00,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1,FM,William,5-10years,35-45,1383.65,1.6,Yes,2006,1,1.0,74.58,1205.8
Paul Walker,41,10474.94,0,6.4,12,2012-01-02 05:08:00,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1,NV,Sarahburgh,5-10years,35-45,1636.71,1.9,No,2012,1,1.0,76.80000000000001,1415.53
Lindsey Day,55,11158.5,1,4.86,10,2007-01-07 01:21:00,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1,MI,Timothyville,3-5years,55-65,2295.99,2.1,Yes,2007,1,1.0,48.6,1904.18
Steven Hernandez,54,8207.1,0,4.26,11,2015-04-05 15:57:00,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1,DE,Bradleyberg,3-5years,45-55,1926.55,2.6,No,2015,2,1.0,46.86,1560.29
Danielle Kirk,35,12403.81,0,4.42,11,2007-07-31 06:39:00,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1,DC,Jenniferfort,3-5years,35-45,2806.29,2.5,No,2007,3,1.0,48.62,2288.53
Troy Oliver,40,10041.13,0,7.61,11,2006-07-30 15:27:00,USCGC Blake FPO AA 66377-6894,Gates Ltd,1,,66377-6894,5-10years,35-45,1319.47,1.4,No,2006,3,0.5,83.71000000000001,1166.22
Darlene Evans,44,12721.55,0,5.18,11,2011-04-25 02:53:00,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1,IL,Anastad,5-10years,35-45,2455.9,2.1,No,2011,2,1.0,56.98,2058.5
Mrs. Sarah Morales,37,8284.89,1,5.6,10,2009-03-25 06:10:00,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1,AR,Joneston,5-10years,35-45,1479.44,1.8,Yes,2009,1,1.0,56.0,1255.29
Laura Pierce,54,10661.48,1,5.16,8,2011-12-26 22:06:00,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1,Box,3912,5-10years,45-55,2066.18,1.6,Yes,2011,4,1.0,41.28,1730.76
Carla Ball,45,10793.11,1,4.65,10,2016-12-28 04:07:00,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1,AS,Shawn,3-5years,45-55,2321.1,2.2,Yes,2016,4,1.0,46.5,1910.28
Robert Hill,46,9322.44,1,2.69,11,2010-11-16 13:22:00,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1,MT,Millertown,1-3years,45-55,3465.59,4.1,Yes,2010,4,1.0,29.59,2526.41
Joseph Harrell,44,9814.22,1,5.45,12,2010-01-23 07:15:00,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1,,94532,5-10years,35-45,1800.77,2.2,Yes,2010,1,1.0,65.4,1521.58
Tammy Shepherd,48,11740.0,1,4.97,11,2011-03-06 01:34:00,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1,CO,Santiagohaven,3-5years,45-55,2362.17,2.2,Yes,2011,1,1.0,54.669999999999995,1966.5
Kelly Carroll,37,14383.36,0,7.84,10,2011-04-05 00:21:00,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1,TN,Alexiston,5-10years,35-45,1834.61,1.3,No,2011,2,1.0,78.4,1627.08
Heidi Munoz,38,11887.39,0,5.83,12,2009-10-15 17:14:00,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1,,96632-5067,5-10years,35-45,2039.0,2.1,No,2009,4,1.0,69.96000000000001,1740.47
Thomas Sawyer,48,10367.08,1,6.45,12,2008-10-06 17:15:00,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1,SC,Sheribury,5-10years,45-55,1607.3,1.9,Yes,2008,4,1.0,77.4,1391.55
Erin Rivera,37,8198.06,1,5.04,12,2016-11-06 01:13:00,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1,AS,Pamelashire,5-10years,35-45,1626.6,2.4,Yes,2016,4,1.0,60.480000000000004,1357.29
Raymond Berry,41,7777.37,0,4.81,12,2014-01-20 08:53:00,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1,MA,Donnamouth,3-5years,35-45,1616.92,2.5,No,2014,1,1.0,57.72,1338.62
Patrick Bell,41,11699.26,0,6.99,12,2010-03-31 14:45:00,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1,NJ,Chase,5-10years,35-45,1673.71,1.7,No,2010,1,1.0,83.88,1464.24
Jason Jones MD,55,16838.94,1,6.66,8,2007-10-05 15:48:00,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1,AS,Mitchellburgh,5-10years,55-65,2528.37,1.2,Yes,2007,4,1.0,53.28,2198.3
Jermaine Johnson,36,10484.33,1,8.84,10,2008-04-29 09:07:00,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1,FM,Middletonton,5-10years,35-45,1186.01,1.1,Yes,2008,2,1.0,88.4,1065.48
George Archer,37,8736.06,1,5.51,12,2014-12-23 19:38:00,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1,CA,Brandystad,5-10years,35-45,1585.49,2.2,Yes,2014,4,1.0,66.12,1341.94
Richard Fields,50,10850.78,1,5.63,9,2010-06-18 07:10:00,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1,NE,Morenobury,5-10years,45-55,1927.31,1.6,Yes,2010,2,1.0,50.67,1636.62
Amanda Roberts,43,8601.01,0,5.65,12,2007-02-03 17:52:00,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1,Box,9561,5-10years,35-45,1522.3,2.1,No,2007,1,1.0,67.80000000000001,1293.38
David Kennedy,45,11170.06,1,7.76,10,2011-01-26 19:05:00,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1,OH,Tara,5-10years,45-55,1439.44,1.3,Yes,2011,1,1.0,77.6,1275.12
Adam Waters,40,11185.62,0,6.26,12,2006-03-06 18:36:00,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1,NJ,Parrishville,5-10years,35-45,1786.84,1.9,No,2006,1,1.0,75.12,1540.72
Patricia Elliott,36,9793.42,0,5.98,9,2007-11-27 12:24:00,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1,NH,Emilystad,5-10years,35-45,1637.7,1.5,No,2007,4,0.5,53.82000000000001,1403.07
Summer Haley,43,12524.68,0,5.98,10,2010-05-27 04:46:00,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1,MN,Michaeltown,5-10years,35-45,2094.43,1.7,No,2010,2,1.0,59.800000000000004,1794.37
Brittany Jackson,50,12682.9,0,4.58,10,2006-09-11 07:07:00,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1,DE,Daniellefurt,3-5years,45-55,2769.19,2.2,No,2006,3,1.0,45.8,2272.92
Shawn Chavez,44,14036.28,1,7.25,10,2009-01-30 01:58:00,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1,ME,Samuelburgh,5-10years,35-45,1936.04,1.4,Yes,2009,1,1.0,72.5,1701.37
Laura Fleming,41,10179.92,1,5.97,10,2010-02-25 00:17:00,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1,NE,Coxtown,5-10years,35-45,1705.18,1.7,Yes,2010,1,1.0,59.699999999999996,1460.53
Marcus Garza,46,12772.72,1,6.46,9,2010-07-03 18:56:00,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1,MH,Michaelview,5-10years,45-55,1977.2,1.4,Yes,2010,3,1.0,58.14,1712.16
Heather Murphy,46,12122.19,0,7.53,11,2015-12-30 18:49:00,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1,VI,Isaac,5-10years,45-55,1609.85,1.5,No,2015,4,1.0,82.83,1421.12
Jeffrey Hill,40,9922.3,1,5.07,11,2006-09-22 20:58:00,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1,MH,Brianmouth,5-10years,35-45,1957.06,2.2,Yes,2006,3,1.0,55.77,1634.65
Amy Griffin,48,4771.65,0,3.77,12,2007-06-19 04:30:00,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1,MH,Mathewchester,3-5years,45-55,1265.69,3.2,No,2007,2,1.0,45.24,1000.35
Michelle Hill,42,10827.96,1,4.2,10,2008-11-10 19:35:00,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1,NJ,Mendozastad,3-5years,35-45,2578.09,2.4,Yes,2008,4,1.0,42.0,2082.3
David Rodriguez,38,8642.01,1,4.76,11,2014-08-13 17:14:00,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1,MI,Gibsonview,3-5years,35-45,1815.55,2.3,Yes,2014,3,1.0,52.36,1500.35
Daniel Bartlett,45,6749.49,0,5.88,14,2006-08-19 17:13:00,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1,KY,Mariaburgh,5-10years,45-55,1147.87,2.4,No,2006,3,1.0,82.32,981.03
Cheyenne Rogers,36,6447.99,1,5.52,11,2009-05-07 22:19:00,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1,MH,Blackburgh,5-10years,35-45,1168.11,2.0,Yes,2009,2,1.0,60.72,988.96
Seth Lopez,44,11091.21,0,5.9,10,2007-07-10 15:33:00,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1,,98374,5-10years,35-45,1879.87,1.7,No,2007,3,1.0,59.0,1607.42
Brittany Hopkins,55,5024.52,0,8.11,9,2010-02-10 10:22:00,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1,NH,Michelleshire,5-10years,55-65,619.55,1.1,No,2010,1,1.0,72.99,551.54
Carla Patterson,58,12376.37,0,6.01,12,2007-12-08 08:05:00,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1,WI,Tinaland,5-10years,55-65,2059.3,2.0,No,2007,4,1.0,72.12,1765.53
Michelle Holloway,49,12458.8,0,5.04,9,2013-01-21 13:44:00,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1,MS,Dylan,5-10years,45-55,2471.98,1.8,No,2013,1,1.0,45.36,2062.72
Kenneth Bryant,47,7222.35,0,6.41,11,2015-06-27 10:57:00,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1,KY,Gomezside,5-10years,45-55,1126.73,1.7,No,2015,2,0.5,70.51,974.68
Cody Williams,38,11758.69,0,6.97,11,2016-08-14 18:04:00,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1,,38853,5-10years,35-45,1687.04,1.6,No,2016,3,1.0,76.67,1475.37
Lori Ross,55,8772.0,1,6.43,10,2006-03-01 20:57:00,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1,AR,Jacobfort,5-10years,55-65,1364.23,1.6,Yes,2006,1,1.0,64.3,1180.62
